paper_id,doi,url,url_type,source,section,jspsych_confirmed,checked_date
W4412203876,10.3758/s13428-026-02995-1,https://zenodo.org/records/4923181,zenodo,epmc_fulltext,references,,2026-07-20
W4412347777,10.31234/osf.io/fwkqs_v1,https://osf.io/jrsqv,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412429992,10.3758/s13420-025-00681-4,https://osf.io/p59zu,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412484558,10.3758/s13423-025-02734-1,https://github.com/franfrutos/multi.s,github,epmc_fulltext,body,False,2026-07-20
W4412484558,10.3758/s13423-025-02734-1,https://osf.io/4wdpv,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412484558,10.3758/s13423-025-02734-1,https://osf.io/vf3rd,osf,epmc_fulltext,references,False,2026-07-20
W4412532859,10.3758/s13421-025-01758-1,https://osf.io/937ba,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412555439,10.5334/joc.451,https://osf.io/r8tyc,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412557462,10.31234/osf.io/cnkyz_v2,https://osf.io/j2na7,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412664018,10.31234/osf.io/g9d4j_v1,https://osf.io/dawzy,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412708359,10.3758/s13428-025-02739-7,https://github.com/yeatmanlab/roar-mep,github,epmc_fulltext,data_availability,True,2026-07-20
W4412708359,10.3758/s13428-025-02739-7,https://osf.io/tj3pc,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412785276,10.3758/s13414-025-03136-0,https://osf.io/pa2y9,osf,epmc_fulltext,data_availability,True,2026-07-20
W4412797023,10.31219/osf.io/rndw8_v2,https://osf.io/cqf6d,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412837162,10.31219/osf.io/gf85k_v1,https://osf.io/y97t3,osf,osf_preprint,preprint_supplement,True,2026-07-20
W4412856331,10.1073/pnas.2413441122,https://github.com/GoldenbergLab/analysis-rl-sindy-kyle,github,epmc_fulltext,data_availability,,2026-07-20
W4412856331,10.1073/pnas.2413441122,https://github.com/spalminteri/conf-bias-meta-analysis,github,epmc_fulltext,body,False,2026-07-20
W4412856331,10.1073/pnas.2413441122,https://osf.io/aeujf,osf,epmc_fulltext,data_availability,,2026-07-20
W4412856331,10.1073/pnas.2413441122,https://osf.io/we89v,osf,epmc_fulltext,body,False,2026-07-20
W4412856331,10.1073/pnas.2413441122,https://osf.io/yg82m,osf,epmc_fulltext,body,True,2026-07-20
W4412872186,10.1038/s41467-026-73032-0,https://osf.io/vhdqe,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412872186,10.1038/s41467-026-73032-0,https://osf.io/wa7hm,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412872186,10.1038/s41467-026-73032-0,https://zenodo.org/records/10107975,zenodo,epmc_fulltext,references,,2026-07-20
W4412930928,10.3758/s13423-025-02733-2,https://osf.io/krdq6,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412957306,10.3389/fpsyg.2025.1469701,https://osf.io/hm6r9,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412995174,10.31234/osf.io/eakwz_v2,https://osf.io/9jzpr,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413107137,10.3758/s13415-025-01326-9,https://github.com/denOudenLab/OnlineMotivationalGNGTask,github,epmc_fulltext,body,True,2026-07-20
W4413107137,10.3758/s13415-025-01326-9,https://osf.io/4qczy,osf,epmc_fulltext,data_availability,False,2026-07-20
W4413107137,10.3758/s13415-025-01326-9,https://osf.io/cuvn7,osf,epmc_fulltext,references,False,2026-07-20
W4413107137,10.3758/s13415-025-01326-9,https://osf.io/p5bz9,osf,epmc_fulltext,data_availability,False,2026-07-20
W4413166108,10.5334/jopd.139,https://osf.io/d3tzq,osf,epmc_fulltext,body,False,2026-07-20
W4413166108,10.5334/jopd.139,https://zenodo.org/records/11403249,zenodo,epmc_fulltext,references,False,2026-07-20
W4413274058,10.3758/s13428-025-02761-9,https://osf.io/4nkmj,osf,epmc_fulltext,data_availability,False,2026-07-20
W4413274058,10.3758/s13428-025-02761-9,https://osf.io/f4a2g,osf,epmc_fulltext,references,False,2026-07-20
W4413274058,10.3758/s13428-025-02761-9,https://osf.io/y5fbs,osf,epmc_fulltext,references,False,2026-07-20
W4413341561,10.31234/osf.io/caxsb_v2,https://osf.io/hrj3t,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413416192,10.31234/osf.io/wr5u6_v3,https://osf.io/qp8zb,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413473581,10.31234/osf.io/7sntv_v1,https://osf.io/mv5jt,osf,osf_preprint,preprint_supplement,True,2026-07-20
W4413787433,10.3758/s13423-025-02750-1,https://osf.io/2r4ux,osf,epmc_fulltext,data_availability,False,2026-07-20
W4413787433,10.3758/s13423-025-02750-1,https://zenodo.org/records/16275532,zenodo,epmc_fulltext,data_availability,,2026-07-20
W4413846326,10.1038/s41598-025-16138-7,https://osf.io/5tsgy,osf,epmc_fulltext,data_availability,False,2026-07-20
W4413846326,10.1038/s41598-025-16138-7,https://zenodo.org/records/7124730,zenodo,epmc_fulltext,references,True,2026-07-20
W4413847009,10.1093/pnasnexus/pgaf275,https://osf.io/9ueza,osf,epmc_fulltext,data_availability,True,2026-07-20
W4413858498,10.31234/osf.io/b2dwm_v3,https://osf.io/au94s,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413861755,10.31219/osf.io/ucyb5_v2,https://osf.io/7vsx6,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413884145,10.31234/osf.io/a4pvb_v2,https://osf.io/3kpma,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413899118,10.31234/osf.io/a4pvb_v3,https://osf.io/3kpma,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4413968127,10.31234/osf.io/awf8z_v1,https://osf.io/c3wxu,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414057216,10.31234/osf.io/vsjtb_v1,https://osf.io/hfbcp,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://github.com/facebookresearch/fairseq,github,epmc_fulltext,body,False,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://github.com/MaartenGr/KeyBERT,github,epmc_fulltext,body,False,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://github.com/snakers4/silero-vad,github,epmc_fulltext,references,False,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://github.com/tehillamo/AutoV-LLM,github,epmc_fulltext,data_availability,True,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://osf.io/xa7rk,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414162238,10.3758/s13428-025-02800-5,https://zenodo.org/records/4461265,zenodo,epmc_fulltext,references,,2026-07-20
W4414162390,10.1371/journal.pcbi.1013476,https://osf.io/qn2gw,osf,epmc_fulltext,data_availability,False,2026-07-20
W4414226743,10.31234/osf.io/mrk3a_v2,https://osf.io/65wnh,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414285176,10.3389/fnhum.2025.1625756,https://zenodo.org/records/10630811,zenodo,epmc_fulltext,references,,2026-07-20
W4414285683,10.31234/osf.io/2ks5h_v1,https://osf.io/s369c,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4414293277,10.1186/s40337-025-01407-7,https://osf.io/efn4v,osf,epmc_fulltext,body,False,2026-07-20
W4414334451,10.1007/s00426-025-02180-7,https://osf.io/qdngu,osf,epmc_fulltext,body,False,2026-07-20
W4414334451,10.1007/s00426-025-02180-7,https://osf.io/xp48s,osf,epmc_fulltext,body,False,2026-07-20
