institution_key,institution_name,ror,country,n_papers,n_authors,first_use,last_use
ror:03b94tp07,University of Auckland,03b94tp07,NZ,12,16,2020-04-11,2026-03-19
ror:0546hnb39,University of Konstanz,0546hnb39,DE,12,9,2017-04-13,2025-04-12
ror:0040r6f76,Victoria University of Wellington,0040r6f76,NZ,11,11,2018-11-21,2026-01-01
ror:01cc3fy72,Ikerbasque,01cc3fy72,ES,11,6,2022-02-02,2026-07-13
ror:01kg8sb98,Indiana University,01kg8sb98,US,11,13,2014-01-01,2024-08-19
ror:01teme464,Universidad de Las Palmas de Gran Canaria,01teme464,ES,11,7,2024-12-04,2026-06-22
ror:026zzn846,Queen Mary University of London,026zzn846,GB,11,12,2020-01-12,2026-06-17
ror:02e7b5302,Nanyang Technological University,02e7b5302,SG,11,30,2020-08-09,2026-07-06
ror:02rx3b187,Université Grenoble Alpes,02rx3b187,FR,11,25,2020-05-29,2026-04-30
ror:035xkbk20,Aix-Marseille Université,035xkbk20,FR,11,18,2016-07-13,2025-12-23
ror:03rmrcq20,University of British Columbia,03rmrcq20,CA,11,9,2020-05-29,2026-02-01
ror:03taz7m60,University of Southern California,03taz7m60,US,11,21,2018-01-01,2026-05-24
ror:03zhhr656,Kyoto University of Education,03zhhr656,JP,11,10,2021-12-06,2026-04-01
ror:046ak2485,Freie Universität Berlin,046ak2485,DE,11,17,2019-09-04,2025-06-06
ror:047s2c258,"University of Maryland, College Park",047s2c258,US,11,19,2020-12-21,2026-07-01
ror:056d84691,Karolinska Institutet,056d84691,SE,11,27,2020-11-30,2026-05-27
ror:000xsnr85,University of the Basque Country,000xsnr85,ES,10,10,2023-01-12,2026-07-13
ror:0172mzb45,Wellcome Centre for Integrative Neuroimaging,0172mzb45,GB,10,27,2019-01-22,2025-03-12
ror:017zqws13,University of Minnesota,017zqws13,US,10,18,2022-05-01,2026-05-15
ror:01gamcy45,Brain (Germany),01gamcy45,DE,10,15,2020-11-01,2024-07-01
ror:01v29qb04,Durham University,01v29qb04,GB,10,14,2019-08-12,2026-05-30
ror:01wm3c497,Prostate Cancer Research,01wm3c497,GB,10,11,2020-07-31,2026-04-22
ror:02ct41q97,John Brown University,02ct41q97,US,10,12,2021-07-21,2026-01-01
ror:02kkvpp62,Technical University of Munich,02kkvpp62,DE,10,32,2021-03-10,2026-05-29
ror:02zx40v98,Central European University,02zx40v98,AT,10,14,2021-03-11,2026-04-01
ror:03prydq77,University of Vienna,03prydq77,AT,10,15,2021-12-09,2026-05-29
ror:03zcpvf19,University Hospitals of the Ruhr-University of Bochum,03zcpvf19,DE,10,9,2024-01-24,2026-05-11
ror:03zwxja46,HUN-REN Research Centre for Natural Sciences,03zwxja46,HU,10,8,2022-05-05,2026-06-22
ror:045c7t348,VIB-KU Leuven Center for Brain & Disease Research,045c7t348,BE,10,8,2022-01-14,2025-07-03
ror:0524sp257,University of Bristol,0524sp257,GB,10,16,2020-12-22,2026-02-16
ror:002h8g185,University of Bath,002h8g185,GB,9,15,2016-05-27,2025-12-30
ror:008n7pv89,University of Plymouth,008n7pv89,GB,9,10,2019-06-26,2025-08-05
ror:00a208s56,Chemnitz University of Technology,00a208s56,DE,9,17,2022-05-05,2026-01-01
ror:00hj54h04,The University of Texas at Austin,00hj54h04,US,9,19,2014-08-06,2026-03-19
ror:01aj84f44,Aarhus University,01aj84f44,DK,9,16,2021-05-12,2026-02-18
ror:01c1w6d29,University of Bamberg,01c1w6d29,DE,9,3,2023-01-01,2026-03-09
ror:01c3w3270,Institute of Cognitive and Brain Sciences,01c3w3270,US,9,17,2018-04-10,2025-07-01
ror:01tgyzw49,National University of Singapore,01tgyzw49,SG,9,15,2021-09-08,2026-04-04
ror:02dg3n954,Laboratoire de Neurosciences Cognitives,02dg3n954,FR,9,12,2016-07-13,2026-02-06
ror:02e2c7k09,Delft University of Technology,02e2c7k09,NL,9,15,2018-07-23,2023-10-06
ror:02hpadn98,Bielefeld University,02hpadn98,DE,9,15,2014-01-01,2026-02-10
ror:02kpeqv85,Kyoto University,02kpeqv85,JP,9,11,2021-12-06,2025-07-29
ror:02y3ad647,University of Florida,02y3ad647,US,9,19,2017-10-11,2025-10-22
ror:03angcq70,University of Birmingham,03angcq70,GB,9,12,2019-01-22,2026-06-09
ror:048b34d51,National Hospital for Neurology and Neurosurgery,048b34d51,GB,9,13,2020-09-28,2026-01-28
ror:04b8v1s79,Tilburg University,04b8v1s79,NL,9,12,2020-10-06,2026-02-18
